====================================================================================================
  HAUP v3.0 — Extracted Data Export
  Table      : users_extracted
  Total Rows : 166
  Columns    : 7
====================================================================================================

__extract_id | name               | email                         | phone_number   | id  | country_code | __orig_rowid__
------------------------------------------------------------------------------------------------------------------------
1            | Lily Kowalczyk     | lily.kowalczyk@fastmail.com   | (758) 953-6529 | 1   | +1           | 1             
2            | Grace Bruno        | grace.bruno@mail.com          | 687-511-6690   | 2   | +34          | 2             
3            | John Jones         | john.jones@protonmail.com     | 637-216-1959   | 3   | +7           | 3             
4            | Tariq Carvalho     | tariq.carvalho@icloud.com     | 355-741-1052   | 4   | +48          | 4             
5            | Sofia Kumar        | sofia.kumar@gmail.com         | 07850 943982   | 5   | +44          | 5             
6            | Daniel Oh          | daniel.oh@icloud.com          | 750-933-5327   | 6   | +33          | 6             
7            | Wei Zhou           | wei.zhou@icloud.com           | 07748 467388   | 7   | +44          | 7             
8            | Patricia Mehta     | patricia.mehta@outlook.com    | 212-240-2733   | 8   | +31          | 8             
9            | Arjun Miller       | arjun.miller@protonmail.com   | 309-357-7377   | 9   | +47          | 9             
10           | David Gupta        | david.gupta@gmail.com         | 326-395-2070   | 10  | +81          | 10            
11           | Ava Jung           | ava.jung@outlook.com          | 246-177-8566   | 11  | +31          | 11            
12           | Thomas Park        | thomas.park@zoho.com          | 219-450-7939   | 12  | +34          | 12            
13           | William Souza      | william.souza@outlook.com     | (241) 526-7281 | 13  | +1           | 13            
14           | Grace Esposito     | grace.esposito@protonmail.com | 442-980-1775   | 14  | +41          | 14            
15           | Michael Kowalczyk  | michael.kowalczyk@zoho.com    | 326-212-8193   | 15  | +41          | 15            
16           | Pooja Rossi        | pooja.rossi@outlook.com       | 393-877-9809   | 16  | +48          | 16            
17           | Mason Ricci        | mason.ricci@zoho.com          | 07307 464587   | 17  | +44          | 17            
18           | William Liu        | william.liu@hey.com           | 294-481-8861   | 18  | +48          | 18            
19           | Olivia Moore       | olivia.moore@hotmail.com      | 487-782-3888   | 19  | +47          | 19            
20           | Samuel Oliveira    | samuel.oliveira@hotmail.com   | 863-370-3417   | 20  | +41          | 20            
21           | Amara Martin       | amara.martin@hey.com          | 319-630-5890   | 21  | +48          | 21            
22           | Patricia Li        | patricia.li@gmail.com         | 830-189-4278   | 22  | +46          | 22            
23           | Thomas Zhou        | thomas.zhou@gmail.com         | 466-322-2315   | 23  | +86          | 23            
24           | Li Jones           | li.jones@outlook.com          | (341) 904-8986 | 24  | +1           | 24            
25           | Thomas Nair        | thomas.nair@hey.com           | 309-964-4439   | 25  | +52          | 25            
26           | Pooja Oh           | pooja.oh@fastmail.com         | 942-847-4466   | 26  | +52          | 26            
27           | Thomas Rossi       | thomas.rossi@mail.com         | 751-695-5752   | 27  | +49          | 27            
28           | Grace Zhou         | grace.zhou@mail.com           | 345-305-3727   | 28  | +39          | 28            
29           | Aisha Souza        | aisha.souza@protonmail.com    | 931-160-8804   | 29  | +39          | 29            
30           | Noor Oh            | noor.oh@icloud.com            | 248-282-8068   | 30  | +41          | 30            
31           | Michael Williams   | michael.williams@gmail.com    | 111-810-2309   | 31  | +49          | 31            
32           | Ahmed Nowak        | ahmed.nowak@protonmail.com    | 843-812-6329   | 32  | +32          | 32            
33           | Li Allen           | li.allen@outlook.com          | 823-906-5060   | 33  | +45          | 33            
34           | Richard Greco      | richard.greco@mail.com        | 402-211-7104   | 34  | +86          | 34            
35           | Fang Miller        | fang.miller@hey.com           | 818-551-9395   | 69  | +86          | 69            
36           | Hassan Meyer       | hassan.meyer@protonmail.com   | 836-139-1928   | 70  | +31          | 70            
37           | Mason Zhou         | mason.zhou@icloud.com         | 338-210-5677   | 71  | +45          | 71            
